"","spp","Year","Season","Season_Year","Lat","Lon","Response","Swept","PredTF"
"169","Yellowtail",10,"SPRING","SPRING_1988",41.983333,-67,0,0.0384,FALSE
"170","Yellowtail",10,"SPRING","SPRING_1988",42,-66.666667,0.3,0.0384,FALSE
"171","Yellowtail",10,"SPRING","SPRING_1988",41.916667,-66.966667,2.3,0.0384,FALSE
"172","Yellowtail",10,"SPRING","SPRING_1988",41.85,-66.816667,2,0.0384,FALSE
"173","Yellowtail",10,"SPRING","SPRING_1988",41.25,-66.716667,0.5,0.0384,FALSE
"174","Yellowtail",10,"SPRING","SPRING_1988",41.866667,-66,0,0.0384,FALSE
"175","Yellowtail",10,"SPRING","SPRING_1988",41.65,-66.166667,2.4,0.0384,FALSE
"176","Yellowtail",10,"SPRING","SPRING_1988",41.5,-66.6,1.6,0.0384,FALSE
"177","Yellowtail",10,"SPRING","SPRING_1988",41.266667,-66.283333,0,0.0384,FALSE
"178","Yellowtail",10,"SPRING","SPRING_1988",41.133333,-66.45,0,0.0384,FALSE
"179","Yellowtail",10,"SPRING","SPRING_1988",41.75,-65.866667,0,0.0384,FALSE
"180","Yellowtail",10,"SPRING","SPRING_1988",41.516667,-65.933333,0,0.0384,FALSE
"181","Yellowtail",10,"SPRING","SPRING_1988",40.916667,-68.366667,1.3,0.0384,FALSE
"182","Yellowtail",10,"SPRING","SPRING_1988",41.583333,-67.233333,0,0.0384,FALSE
"183","Yellowtail",10,"SPRING","SPRING_1988",40.733333,-68.45,0.4,0.0384,FALSE
"184","Yellowtail",10,"SPRING","SPRING_1988",41.133333,-68.216667,0,0.0384,FALSE
"185","Yellowtail",10,"SPRING","SPRING_1988",41.016667,-68.55,0,0.0384,FALSE
"186","Yellowtail",10,"SPRING","SPRING_1988",41.333333,-67.183333,0,0.0384,FALSE
"187","Yellowtail",10,"SPRING","SPRING_1988",41.3,-67.316667,0,0.0384,FALSE
"188","Yellowtail",10,"SPRING","SPRING_1988",41.183333,-67.9,0,0.0384,FALSE
"189","Yellowtail",10,"SPRING","SPRING_1988",41.483333,-67.516667,0,0.0384,FALSE
"190","Yellowtail",10,"SPRING","SPRING_1988",42.083333,-67.266667,0,0.0384,FALSE
"191","Yellowtail",10,"SPRING","SPRING_1988",41.566667,-67.866667,0,0.0384,FALSE
"192","Yellowtail",10,"SPRING","SPRING_1988",41.566667,-68.333333,0,0.0384,FALSE
"193","Yellowtail",10,"SPRING","SPRING_1988",41.883333,-67.533333,0.3,0.0384,FALSE
"194","Yellowtail",10,"SPRING","SPRING_1988",41.583333,-68.216667,0,0.0384,FALSE
"195","Yellowtail",10,"SPRING","SPRING_1988",41.8,-67.8,0,0.0384,FALSE
"196","Yellowtail",10,"SPRING","SPRING_1988",41.95,-67.883333,0,0.0384,FALSE
"197","Yellowtail",10,"SPRING","SPRING_1988",42.116667,-67.05,0,0.0384,FALSE
"198","Yellowtail",10,"SPRING","SPRING_1988",42.083333,-66.45,0,0.0384,FALSE
"199","Yellowtail",10,"SPRING","SPRING_1988",42.066667,-67.55,3.7,0.0384,FALSE
"200","Yellowtail",13,"SPRING","SPRING_1989",40.583333,-68.05,0.34,0.0384,FALSE
"201","Yellowtail",13,"SPRING","SPRING_1989",40.716667,-68.166667,0.255,0.0384,FALSE
"202","Yellowtail",13,"SPRING","SPRING_1989",40.833333,-68.833333,1.445,0.0384,FALSE
"203","Yellowtail",13,"SPRING","SPRING_1989",40.716667,-67.383333,0,0.0384,FALSE
"204","Yellowtail",13,"SPRING","SPRING_1989",40.666667,-68.333333,0,0.0384,FALSE
"205","Yellowtail",13,"SPRING","SPRING_1989",40.9,-66.983333,0,0.0384,FALSE
"206","Yellowtail",13,"SPRING","SPRING_1989",40.983333,-68.816667,2.635,0.0384,FALSE
"207","Yellowtail",13,"SPRING","SPRING_1989",40.383333,-68.533333,0,0.0384,FALSE
"208","Yellowtail",13,"SPRING","SPRING_1989",40.9,-67.716667,2.125,0.0384,FALSE
"209","Yellowtail",13,"SPRING","SPRING_1989",40.716667,-67.016667,0,0.0384,FALSE
"210","Yellowtail",13,"SPRING","SPRING_1989",40.533333,-67.666667,0,0.0384,FALSE
"211","Yellowtail",13,"SPRING","SPRING_1989",40.333333,-68.016667,0,0.0384,FALSE
"212","Yellowtail",13,"SPRING","SPRING_1989",40.383333,-67.733333,0,0.0384,FALSE
"213","Yellowtail",13,"SPRING","SPRING_1989",41.966667,-66.683333,4.335,0.0384,FALSE
"214","Yellowtail",13,"SPRING","SPRING_1989",41.783333,-65.95,0.255,0.0384,FALSE
"215","Yellowtail",13,"SPRING","SPRING_1989",41.616667,-66.633333,1.105,0.0384,FALSE
"216","Yellowtail",13,"SPRING","SPRING_1989",41.433333,-66.366667,0,0.0384,FALSE
"217","Yellowtail",13,"SPRING","SPRING_1989",42.033333,-66.933333,6.885,0.0384,FALSE
"218","Yellowtail",13,"SPRING","SPRING_1989",41.816667,-66.833333,0,0.0384,FALSE
"219","Yellowtail",13,"SPRING","SPRING_1989",41.816667,-66.216667,1.7,0.0384,FALSE
"220","Yellowtail",13,"SPRING","SPRING_1989",41.883333,-66.466667,2.295,0.0384,FALSE
"221","Yellowtail",13,"SPRING","SPRING_1989",41.7,-66.866667,1.36,0.0384,FALSE
"222","Yellowtail",13,"SPRING","SPRING_1989",41.116667,-66.7,0.255,0.0384,FALSE
"223","Yellowtail",13,"SPRING","SPRING_1989",41.816667,-65.783333,0,0.0384,FALSE
"224","Yellowtail",13,"SPRING","SPRING_1989",41.466667,-66,0,0.0384,FALSE
"225","Yellowtail",13,"SPRING","SPRING_1989",41.066667,-66.466667,0,0.0384,FALSE
"226","Yellowtail",13,"SPRING","SPRING_1989",42.033333,-65.9,0,0.0384,FALSE
"227","Yellowtail",13,"SPRING","SPRING_1989",41.816667,-67.233333,0,0.0384,FALSE
"228","Yellowtail",13,"SPRING","SPRING_1989",41.583333,-67.716667,0,0.0384,FALSE
"229","Yellowtail",13,"SPRING","SPRING_1989",41.383333,-67.366667,0.255,0.0384,FALSE
"230","Yellowtail",13,"SPRING","SPRING_1989",40.933333,-68.65,0.255,0.0384,FALSE
"231","Yellowtail",13,"SPRING","SPRING_1989",41.283333,-67.833333,0.255,0.0384,FALSE
"232","Yellowtail",13,"SPRING","SPRING_1989",40.833333,-68.3,1.275,0.0384,FALSE
"233","Yellowtail",13,"SPRING","SPRING_1989",41.466667,-67.183333,0.34,0.0384,FALSE
"234","Yellowtail",13,"SPRING","SPRING_1989",41.7,-67.283333,0,0.0384,FALSE
"235","Yellowtail",13,"SPRING","SPRING_1989",41.233333,-67.733333,0,0.0384,FALSE
"236","Yellowtail",13,"SPRING","SPRING_1989",42,-67.316667,0,0.0384,FALSE
"237","Yellowtail",13,"SPRING","SPRING_1989",42.016667,-67.466667,0,0.0384,FALSE
"238","Yellowtail",13,"SPRING","SPRING_1989",41.8,-67.95,0.085,0.0384,FALSE
"239","Yellowtail",13,"SPRING","SPRING_1989",41.15,-68.5,0,0.0384,FALSE
"240","Yellowtail",13,"SPRING","SPRING_1989",41.55,-68.35,0,0.0384,FALSE
"241","Yellowtail",13,"SPRING","SPRING_1989",41.966667,-67.666667,0,0.0384,FALSE
"242","Yellowtail",13,"SPRING","SPRING_1989",42.1,-66.75,0,0.0384,FALSE
"243","Yellowtail",13,"SPRING","SPRING_1989",42.05,-67.566667,0,0.0384,FALSE
"244","Yellowtail",13,"SPRING","SPRING_1989",41.883333,-67.933333,0.17,0.0384,FALSE
"245","Yellowtail",13,"SPRING","SPRING_1989",42.15,-66.966667,0.255,0.0384,FALSE
"246","Yellowtail",16,"SPRING","SPRING_1990",40.866667,-66.916667,0,0.0384,FALSE
"247","Yellowtail",16,"SPRING","SPRING_1990",40.916667,-68.733333,1.955,0.0384,FALSE
"248","Yellowtail",16,"SPRING","SPRING_1990",40.516667,-68.616667,5.44,0.0384,FALSE
"249","Yellowtail",16,"SPRING","SPRING_1990",40.883333,-67.55,1.53,0.0384,FALSE
"250","Yellowtail",16,"SPRING","SPRING_1990",40.666667,-67.45,0,0.0384,FALSE
"251","Yellowtail",16,"SPRING","SPRING_1990",40.416667,-68.7,0.765,0.0384,FALSE
"252","Yellowtail",16,"SPRING","SPRING_1990",40.75,-67.783333,0.255,0.0384,FALSE
"253","Yellowtail",16,"SPRING","SPRING_1990",40.833333,-68.066667,1.785,0.0384,FALSE
"254","Yellowtail",16,"SPRING","SPRING_1990",40.633333,-68.55,8.925,0.0384,FALSE
"255","Yellowtail",16,"SPRING","SPRING_1990",40.5,-67.85,0,0.0384,FALSE
"256","Yellowtail",16,"SPRING","SPRING_1990",40.3,-68.35,0,0.0384,FALSE
"257","Yellowtail",16,"SPRING","SPRING_1990",40.533333,-67.183333,0,0.0384,FALSE
"258","Yellowtail",16,"SPRING","SPRING_1990",40.5,-67.15,0,0.0384,FALSE
"259","Yellowtail",16,"SPRING","SPRING_1990",41.333333,-66.383333,0,0.0384,FALSE
"260","Yellowtail",16,"SPRING","SPRING_1990",41.583333,-66.65,0.935,0.0384,FALSE
"261","Yellowtail",16,"SPRING","SPRING_1990",41.983333,-66.25,0,0.0384,FALSE
"262","Yellowtail",16,"SPRING","SPRING_1990",41.466667,-66.783333,0.85,0.0384,FALSE
"263","Yellowtail",16,"SPRING","SPRING_1990",41.783333,-66.833333,0,0.0384,FALSE
"264","Yellowtail",16,"SPRING","SPRING_1990",41.683333,-66.116667,1.445,0.0384,FALSE
"265","Yellowtail",16,"SPRING","SPRING_1990",40.983333,-66.816667,0,0.0384,FALSE
"266","Yellowtail",16,"SPRING","SPRING_1990",41.916667,-66.966667,0,0.0384,FALSE
"267","Yellowtail",16,"SPRING","SPRING_1990",41.616667,-66.966667,0,0.0384,FALSE
"268","Yellowtail",16,"SPRING","SPRING_1990",42.05,-66.55,2.125,0.0384,FALSE
"269","Yellowtail",16,"SPRING","SPRING_1990",41.633333,-65.866667,0,0.0384,FALSE
"270","Yellowtail",16,"SPRING","SPRING_1990",41.866667,-65.883333,0.51,0.0384,FALSE
"271","Yellowtail",16,"SPRING","SPRING_1990",40.85,-66.716667,0,0.0384,FALSE
"272","Yellowtail",16,"SPRING","SPRING_1990",41.3,-67.7,0.595,0.0384,FALSE
"273","Yellowtail",16,"SPRING","SPRING_1990",41.216667,-68.15,0,0.0384,FALSE
"274","Yellowtail",16,"SPRING","SPRING_1990",41.033333,-68.416667,0,0.0384,FALSE
"275","Yellowtail",16,"SPRING","SPRING_1990",41.383333,-67.15,0,0.0384,FALSE
"276","Yellowtail",16,"SPRING","SPRING_1990",41.216667,-67.266667,0.51,0.0384,FALSE
"277","Yellowtail",16,"SPRING","SPRING_1990",41.083333,-67.85,0,0.0384,FALSE
"278","Yellowtail",16,"SPRING","SPRING_1990",41.716667,-67.05,0,0.0384,FALSE
"279","Yellowtail",16,"SPRING","SPRING_1990",41.5,-67.466667,0,0.0384,FALSE
"280","Yellowtail",16,"SPRING","SPRING_1990",41.116667,-67.633333,0.255,0.0384,FALSE
"281","Yellowtail",16,"SPRING","SPRING_1990",41.933333,-67.283333,0,0.0384,FALSE
"282","Yellowtail",16,"SPRING","SPRING_1990",41.583333,-68.416667,0,0.0384,FALSE
